Geo Point;Geo Shape;gml_id;LOCALISATION;GID;IDENT;NATURE_N1;NATURE_N2;NATURE;SOUS_NATURE;GID_ACTE;DATE_DEBUT_ACTE;DATE_FIN_ACTE;GID_EMPRISE;TYPE_EMPRISE;LOCALISATION_EMPRISE;MES_LIBELLE;TYPE_GEOMETRIE
44.839817618079366, -0.5534386514548808;"{""coordinates"": [[[-0.552576176326805, 44.84005154727339], [-0.551966189043441, 44.8401133740754]], [[-0.552579811247092, 44.840069359063286], [-0.553115183167797, 44.84001301120943], [-0.553119345413683, 44.84001202607308], [-0.554762340563193, 44.839380326317944], [-0.554764442191817, 44.839379312091125], [-0.5548652562411, 44.83931931725032]], [[-0.552579744270513, 44.84006936598221], [-0.551969756802433, 44.8401311928032]], [[-0.552576109350249, 44.84005155419232], [-0.553109278094815, 44.839995438228165], [-0.554749190967326, 44.83936492358857], [-0.554849026108131, 44.83930551130893]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.157675;Rue Promis (Bordeaux) en agglomération;157675;2413320;99;301;Assainissement - Réseau;Inspection du réseau;240513;2024-09-23;2024-10-14;304569;EMPRISE;Rue Promis (Bordeaux);"Interdiction de stationnement;Neutralisation de voie";LIGNE
44.84266340517393, -0.5503017356420293;"{""coordinates"": [[-0.550773264237886, 44.843059684581014], [-0.549830207046173, 44.842267125766845]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.148168;Cours le Rouzic à partir du N° 46 jusqu'au N° 67 (Bordeaux) situés en agglomération;148168;2404095;96;282;Adduction Eau Potable - Réseau;Renouvellement;238518#242589;2024-09-01#2024-09-16;2024-10-19#2024-10-13;302006/302004/302005/302007#307096;DEVIATION/EMPRISE/EMPRISE/EMPRISE#DEVIATION;Cours le Rouzic (Bordeaux) vers l'avenue Thiers et la rue Bonnefin/Rue Bonnefin, du 43 jusqu'à la Rue de Janeau (Bordeaux)/Place Calixte Camelle du côté impair, du Cours le Rouzic jusqu'à la Rue Bonnefin (Bordeaux)/du 41 au 65 Cours le Rouzic (Bordeaux)#Rue Feaugas, de la Rue Etobon Chenebier jusqu'au Cours le Rouzic (Bordeaux);"Déviation/Interdiction de stationnement;Neutralisation de voie/Interdiction de stationnement;Circulation interdite/Circulation alternée#Interdiction de stationnement;Sens interdit (ou sens unique);Circulation interdite";LIGNE
44.844484001996754, -0.5405890546169795;"{""coordinates"": [[-0.540966736798782, 44.84441974128215], [-0.540861304641179, 44.844410353883795], [-0.540813883938091, 44.84457228243897], [-0.540280528322717, 44.84448894181002], [-0.540440072152241, 44.84431648848516]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.148587;Rue Professeur André Lambinet de l'intersection avec Rue du Professeur Calmette jusqu'au N° 2 (Bordeaux) situés en agglomération;148587;2404504;133;463;Travaux sur immeuble - Construction;Grutage mobile;243051;2024-10-01;2024-11-30;307673/307672;DEVIATION/EMPRISE;Rue du Professeur Calmette (Bordeaux) vers la rue du professeur André Lambinet (côté pair) ,dans les deux sens./De la Rue du Professeur Calmette jusqu'au 2 à la rue du Professeur Lambinet (côté parc ) (Bordeaux);"Déviation/Interdiction de stationnement;Circulation interdite";LIGNE
44.85602069529362, -0.5804943947949628;"{""coordinates"": [[-0.58145090558509, 44.856231470068224], [-0.5809233563826, 44.856276215761895], [-0.579647231135301, 44.85637546494026], [-0.579624265757902, 44.85575125130709], [-0.58131843912155, 44.855692336860784], [-0.581426681652146, 44.85622378706212]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.132893;Rue Albert à partir du N° 20 jusqu'au N° 42 (Bordeaux) situés en agglomération Rue Professeur Vezes à partir du N° 52 jusqu'au N° 1 (Bordeaux) situés en agglomération;132893;2308393;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;211139;2023-10-30;2024-12-27;267700;EMPRISE;2 Rue Professeur Vezes (Bordeaux);Mesure libre circulation;LIGNE
44.85381334767934, -0.5788894467220135;"{""coordinates"": [[-0.578800725753156, 44.853954875774086], [-0.578726770700898, 44.853847414748614], [-0.578841882799431, 44.85372556480983], [-0.579076317817817, 44.85374071453136], [-0.578804675571968, 44.853954751600284]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.151745;Rue Lagrange au Place Henri Barckhausen (Bordeaux) situé en agglomération;151745;2407598;106;312;Eclairage Public - Réseau;Renouvellement;236781#243292;2024-08-05#2024-10-01;2024-10-31#2024-10-31;299910/299768/299769/299951/299766/299770/299909#307977;EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE#EMPRISE;Rue Lagrange de Rue Albert Pitres à Place Henri Barckhausen/Place Henri Barckhausen/Rue Guadet de la Rue Albert Pitres à la Place Henri Barckhausen/Rue Frere de la Rue Saint Hubert à la Place Henri Barckhausen/Rue Lagrange de Rue de Verlaine à Place Barckhausen/Rue Frere de la Rue Catros à la Rue Lagrange/Rue Lagrange au droit de la Place Henri Barckhausen#Rue Lagrange de Rue Paul Verlaine à Rue Mandron;"Circulation interdite;Mise en impasse/Interdiction de stationnement;Circulation interdite/Circulation interdite;Mise en impasse/Circulation interdite;Mise en impasse/Mise en impasse;Circulation interdite/Circulation interdite;Mise en impasse/Circulation interdite#Sens interdit (ou sens unique)";LIGNE
44.853556437540576, -0.5721193910112723;"{""coordinates"": [[-0.570950222012369, 44.85298648942504], [-0.573288560010175, 44.854126385656116]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.150753;. Adresse exacte de l’implantation de l’(des)ouvrage(s), de l’(des)équipement(s) ou des travaux RUE MINVIELLE - 3+4+14+15+20+22+24+26+30+31+37+44+48+56+57 - BORDEAUX;150753;2406627;95;276;Adduction Eau Potable - Branchement;Renouvellement;240211;2024-04-08;2025-04-08;304156;EMPRISE;Rue Minvielle (Bordeaux);"Mise en impasse;Interdiction de stationnement;Circulation interdite";LIGNE
44.864623055346115, -0.5730410516546991;"{""coordinates"": [[-0.57375101531432, 44.864199636453144], [-0.572331087995079, 44.865046474239094]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.149125;Rue Gaston Marchou de l'intersection avec Cours du Médoc à l'intersection avec Rond-point de Fukuoka (Bordeaux) situés en agglomération;149125;2405041;102;266;Chaud/Froid Urbain - Réseau;Création;232299;2025-05-27;2025-06-28;294039/294040/294038;DEVIATION/EMPRISE/EMPRISE;Allée Haussmann, de la place Ravesies jusqu'au rond-point de Fukuoka Cours du Médoc, de la rue Gaston Marchou jusqu'à la place Ravesies Place Ravesies, du cours du Médoc jusqu'à l'allée Haussmann/Cours du Médoc à l'intersection de la Rue Gaston Marchou/Rue Gaston Marchou, du cours du Médoc jusqu'au rond-point de Fukuoka;"Déviation/Interdiction de tourner/Interdiction de stationnement;Neutralisation de voie;Interdiction de tourner;Sens interdit (ou sens unique)";LIGNE
44.85589372296685, -0.5683383651208653;"{""coordinates"": [[-0.568640682104456, 44.856110151363374], [-0.568036048137275, 44.85567729457034]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.81742;Rue du Faubourg des Arts à partir du N° 33 jusqu'au N° 22 (Bordeaux) situés en agglomération;81742;2101868;133;462;Travaux sur immeuble - Construction;Manutention;212423;2023-11-20;2024-12-20;269300/269301;EMPRISE/DEVIATION;Rue du Faubourg des Arts (Bordeaux)/Allée Stendhal, du Cours Balguerie Stuttenberg jusqu'à la Place Paul Et Jean-Paul Avisseau (Bordeaux) Cours Balguerie Stuttenberg, de la Rue du Faubourg des Arts jusqu'à Allée Stendhal (Bordeaux) Place Paul Et Jean-Paul Avisseau, de Allée Stendhal jusqu'à la Rue du Faubourg des Arts (Bordeaux);"Mise en impasse;Circulation interdite/Déviation";LIGNE
44.86727705811612, -0.5380056545497856;"{""coordinates"": [[-0.538018796114519, 44.867227388016644], [-0.537992512985052, 44.8673267282156]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.159294;Quai de Brazza à partir du N° 200TER jusqu'au 201 (Bordeaux) situés en agglomération;159294;2414878;99;299;Assainissement - Réseau;Réparation;243399;2024-10-13;2024-10-18;308111;EMPRISE;du 200ter au 201 Quai de Brazza (Bordeaux);"Neutralisation de voie;Circulation alternée;Interdiction de stationnement";LIGNE
44.83515078362191, -0.6015026083562501;"{""coordinates"": [[-0.60148947143282, 44.83520961202232], [-0.60151574527968, 44.835091955221515]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156616;Rue de Doumerc à partir du N° 35BIS jusqu'au N° 39 (Bordeaux) situés en agglomération;156616;2412292;110;432;Gestion de l'espace public;Réfection de trottoir;238490;2024-08-19;2024-10-18;301964;EMPRISE;du 35BIS au 41 rue de Doumerc;Interdiction de stationnement;LIGNE
44.836080435514035, -0.601285608020484;"{""coordinates"": [[-0.601293262275003, 44.8360446530765], [-0.601277953765965, 44.83611621795156]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.132563;Rue de Doumerc à partir du N° 9 jusqu'au N° 7 (Bordeaux) situés en agglomération;132563;2308064;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;241678;2024-09-09;2024-10-08;306006/306007;EMPRISE/EMPRISE;du 7 au 9 Rue de Doumerc/Rue de Doumerc, de la rue des Chênes Lièges jusqu'à l'avenue d'Ares;Interdiction de stationnement/Circulation interdite;LIGNE
44.83100516975598, -0.5916068449492105;"{""coordinates"": [[-0.595305759508466, 44.82945133567832], [-0.587907930389955, 44.83255900383364]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.100777;Rue Manon Cormier de l'intersection avec Boulevard Maréchal Leclerc à l'intersection avec Rue François de Sourdis (Bordeaux) situés en agglomération;100777;2300053;110;433;Gestion de l'espace public;Couche de roulement;240362;2024-09-02;2024-10-31;304372/304371/304369/304373/304370;EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE;du 104 au 106 Boulevard Maréchal Leclerc pour les travaux rue Manon Cormier/du 78 au 86 Rue Heron pour les travaux rue Manon Cormier/Rue Manon Cormier, du Boulevard Maréchal Leclerc jusqu'à la Rue François de Sourdis/Rue Heron Rue Mathieu Rue de Madrid Rue de Lisbonne/Rue Manon Cormier, du Boulevard Maréchal Leclerc jusqu'à la Rue François de Sourdis;Interdiction de stationnement/Interdiction de stationnement/Interdiction de stationnement/Mesure libre circulation/Circulation interdite;LIGNE
44.83907735235427, -0.5939520222010688;"{""coordinates"": [[-0.593909004678442, 44.839053727212686], [-0.593995039723696, 44.83910097749584]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156601;Rue de Brach à partir du N° 14 jusqu'au N° 19 (Bordeaux) situés en agglomération;156601;2412278;107;326;Electricité - Branchement;Création;241247;2024-09-23;2024-10-06;305473/305472;DEVIATION/EMPRISE;Rue de Lacanau - Rue Georges Bonnac - Rue Brizard - Rue Judaïque - Rue Pierre/14 Rue de Brach;"Déviation/Circulation interdite;Mise en impasse";LIGNE
44.82672378181396, -0.5917852702536003;"{""coordinates"": [[[-0.591974771155544, 44.826709431946426], [-0.591723632380491, 44.82677366090335]], [[-0.591266270496161, 44.82657556068852], [-0.591294956492415, 44.82659154560748]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.157109;Boulevard George V au N° 31 (Bordeaux) situé en agglomération Rue du Haut Queyron à partir du N° 4 jusqu'au N° 1 (Bordeaux) situés en agglomération;157109;2412781;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;243337;2024-09-28;2024-10-25;308032/308031;EMPRISE/EMPRISE;Rue du Haut Queyron du côté impair, de la rue Dumonteil jusqu'au boulevard George V/Rue du Haut Queyron du côté impair, du 5 jusqu'au boulevard George V;Circulation interdite/Interdiction de stationnement;LIGNE
44.83370270678384, -0.5905625202460871;"{""coordinates"": [[-0.588860256256713, 44.834192750270184], [-0.592264784235461, 44.8332126632975]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.123341;Rue d'Ornano au N° 192 (Bordeaux) situé en agglomération;123341;2218057;97;427;Aménagement  de l'espace public;Création d'espaces verts;240519;2024-09-09;2025-03-07;304576;EMPRISE;Boulevard Antoine Gautier Boulevard Georges Pompidou Boulevard Maréchal Leclerc Rue Général de Larminat Rue d'Ornano Boulevard George V, du Boulevard Maréchal Leclerc jusqu'au Cours du Maréchal Gallieni ( Barrière de Pessac );"Mesure libre circulation;Neutralisation de voie;Interdiction de stationnement";LIGNE
44.8254092282293, -0.5848711344640553;"{""coordinates"": [[-0.584867572223573, 44.825447343571334], [-0.584874696704537, 44.82537111288726]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156809;Rue Perey à partir du N° 15 jusqu'au N° 17 (Bordeaux) situés en agglomération;156809;2412482;110;571;Gestion de l'espace public;Entretien de la voirie;238902;2024-08-26;2024-10-25;302493/302492;EMPRISE/EMPRISE;Rue Perey, de la Rue des Treuils jusqu'à la Rue de Ségur/du 9 au 19 Rue Perey;Circulation interdite/Interdiction de stationnement;LIGNE
44.83438270186992, -0.5829805227572024;"{""coordinates"": [[-0.580696027046244, 44.83522204130197], [-0.584554613747086, 44.83377375069772], [-0.584897776943416, 44.83375731060724], [-0.584793318556812, 44.83376341630989], [-0.584749184123657, 44.83394426552485], [-0.58479524906762, 44.83376265173508]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.151709;Place Rodesse de l'intersection avec Rue Belleville jusqu'au N° 4 (Bordeaux) situés en agglomération Rue Servandoni à partir du N° 1 jusqu'au N° 72 (Bordeaux) situés en agglomération;151709;2407562;95;276;Adduction Eau Potable - Branchement;Renouvellement;243128;2024-10-01;2024-11-29;307768/307771/307769/307770;EMPRISE/EMPRISE/EMPRISE/EMPRISE;Rue Servandoni, de la rue de Kater (carrefour compris) jusqu'à la Rue de Belfort (carrefour compris)/Rue Lacornee, du 29 jusqu'à la rue Tastet/du 109 au 129 Rue de Kater/du 1 au 31 Rue Ligier;"Interdiction de stationnement;Circulation interdite/Interdiction de stationnement;Circulation interdite/Circulation interdite;Interdiction de stationnement/Interdiction de stationnement;Circulation interdite";LIGNE
44.836550040302136, -0.5843978629933138;"{""coordinates"": [[[-0.584534463432847, 44.836557523309956], [-0.584269924079414, 44.836582041901316]], [[-0.584526295281332, 44.83651783395415], [-0.584260801725093, 44.83654291040539]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.150348;Rue Jean Fleuret au N° 25 (Bordeaux) situé en agglomération;150348;2406255;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;236669;2024-07-24;2024-10-31;299628;EMPRISE;25 Rue Jean Fleuret (Bordeaux);"Circulation alternée;Neutralisation de voie";LIGNE
44.84130025388737, -0.5834510749441557;"{""coordinates"": [[-0.583463143293742, 44.84139488141159], [-0.583439006594569, 44.841205626363156]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.154729;Rue du Château d'Eau à partir du N° 2 jusqu'au N° 5 (Bordeaux) situés en agglomération;154729;2410486;135;467;Travaux sur immeuble - Rénovation / Entretien;Manutention;242175;2024-09-30;2024-10-02;306584/306585;EMPRISE/DEVIATION;du 1 au 5 Rue du Château d'Eau/Rue Judaïque - Rue Fernand Marin;Circulation interdite/Déviation;LIGNE
44.831620631356635, -0.5819447333923953;"{""coordinates"": [[-0.582370145010361, 44.83203653368533], [-0.58151932177443, 44.83120472902794]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.155407;Rue de Navarre de l'intersection avec Rue du Tondu à l'intersection avec Rue de Belfort (Bordeaux) situés en agglomération;155407;2411123;112;378;Gaz - Branchement;Renouvellement;242167#240243#242150;2024-09-16#2024-09-02#2024-09-16;2024-10-18#2024-10-18#2024-10-18;306574/306575/306576#304193/304192#306553;EMPRISE/EMPRISE/EMPRISE#EMPRISE/EMPRISE#EMPRISE;Place Amédée Larrieu, du 16 jusqu'à la rue de Pessac/Rue Louis Mie/Rue du Tondu, de la rue Louis Mie jusqu'à la rue de Belfort#Rue de Navarre, de la Rue de Belfort jusqu'à la Rue du Tondu/Rue de Navarre, de la Rue de Pessac jusqu'à la Rue de Belfort#Rue de Belfort, de la rue du Tondu jusqu'à la place Amédée Larrieu;"Interdiction de stationnement;Circulation interdite/Circulation interdite/Mesure libre circulation#Circulation interdite;Neutralisation de voie;Interdiction de stationnement/Circulation interdite;Neutralisation de voie;Interdiction de stationnement#Interdiction de stationnement";LIGNE
44.84201976925087, -0.5790105246737125;"{""coordinates"": [[[-0.578978682823573, 44.842115208197335], [-0.579129824799148, 44.842032338210494], [-0.579141589697437, 44.84195103611454], [-0.579092188852426, 44.84187236127103], [-0.57899652397945, 44.84184510803375], [-0.578877416140744, 44.84185448352149]], [[-0.578591978691468, 44.8428089567673], [-0.578543630137332, 44.8427949942782]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.157182;Rue Condillac au N° 5 (Bordeaux) situé en agglomération Rue Fenelon au N° 5 (Bordeaux) situé en agglomération Rue Montesquieu au N° 16 (Bordeaux) situé en agglomération;157182;2412854;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;239579;2024-09-02;2024-10-25;303363;EMPRISE;61 Cours de l'Intendance (Bordeaux);Rétrécissement de largeur de voie;LIGNE
44.84031997260986, -0.5740000909713553;"{""coordinates"": [[[-0.573783079017197, 44.84026041631397], [-0.574195353398347, 44.84024922903788], [-0.574206951796035, 44.8403166012906]], [[-0.574015791282829, 44.840503821614874], [-0.573863479156044, 44.84052004061982]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.156068;Rue de la Devise à partir du N° 63 à l'intersection avec Rue Sainte-Catherine (Bordeaux) situés en agglomération;156068;2411778;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;238798;2024-08-05;2024-11-04;302367;EMPRISE;28 Rue du Parlement Sainte Catherine;Rétrécissement de largeur de voie;LIGNE
44.85657077411281, -0.62007456824963;"{""coordinates"": [[-0.620041978286273, 44.85668195077568], [-0.620107158212987, 44.856459597449934]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157670;Rue Gabriel Leglise à partir du N° 38 jusqu'au N° 36 (Bordeaux) situés en agglomération;157670;2413315;110;432;Gestion de l'espace public;Réfection de trottoir;240500;2024-09-30;2024-11-30;304554/304553;EMPRISE/EMPRISE;du 33 au 31 Rue Gabriel Leglise (Bordeaux)/du 38 au 36 Rue Gabriel Leglise (Bordeaux);"Interdiction de stationnement/Limitation de vitesse;Circulation alternée;Neutralisation de voie";LIGNE
44.85223858169773, -0.6147308603940338;"{""coordinates"": [[-0.614925333005159, 44.85226319620677], [-0.614536387782909, 44.85221396718869]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.158355;Avenue Louis Barthou à partir du N° 151 jusqu'au N° 147 (Bordeaux) situés en agglomération;158355;2413983;104;305;Eclairage Public - Branchement;Création;241776;2024-09-23;2025-02-21;306121;EMPRISE;Square Samuel Paty au droit du cèdre -- Place de l'église Saint Amand -- Barrière Cité Administrative -- Avenue Louis Barthou, de la Place Martyrs de la Résistance jusqu'à la Rue Guenard -- Place de Moscou -- Place Eugène Gauthier -- 493 avenue du Mal de Lattre de Tassigny -- 101, 157 rue Stehelin -- rue Pasteur angle rue Morton;"Circulation alternée;Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement";LIGNE
44.8464146598502, -0.6074209336106053;"{""coordinates"": [[-0.608199567149193, 44.844757240088995], [-0.606642300072017, 44.8480720796114]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.155529;Rue Kléber à partir du N° 103 à l'intersection avec Rue de l'Ecole Normale (Bordeaux) situés en agglomération;155529;2411245;112;378;Gaz - Branchement;Renouvellement;238214;2024-09-09;2024-11-03;301629/301610/301628/301630/301631/301627;EMPRISE/EMPRISE/DEVIATION/DEVIATION/DEVIATION/EMPRISE;Rue Kléber, de l'Avenue Alsace Lorraine jusqu'à la Rue de l'Ecole Normale (Bordeaux)/Rue Kléber, de la Rue Pasteur jusqu'à l'Avenue Alsace Lorraine (Bordeaux)/Avenue Alsace Lorraine, de la Rue Victor Hugo jusqu'à la Rue Kléber (Bordeaux) Rue Pasteur, de la Rue Kléber jusqu'à la Rue Victor Hugo/Avenue Alsace Lorraine, de la Rue Kléber jusqu'à la Rue de la Tour d'Auvergne (Bordeaux) Rue de l'Ecole Normale, de la Rue de la Tour d'Auvergne jusqu'à la Rue Kléber (Bordeaux)/Avenue Alsace Lorraine, de la Rue Kléber jusqu'à la Rue François Marceau (Bordeaux) Rue de l'Ecole Normale, de la Rue François Marceau jusqu'à la Rue Kléber (Bordeaux)/Rue Georges Dalidet, de la Rue Robert d'Ennery jusqu'à la Rue Kléber (Bordeaux);"Limitation de vitesse;Interdiction de stationnement;Circulation interdite/Limitation de vitesse;Interdiction de stationnement;Circulation interdite/Déviation/Déviation/Déviation/Mise en impasse;Interdiction de stationnement;Circulation interdite";LIGNE
44.84677373824198, -0.5922136921210179;"{""coordinates"": [[-0.59240501044564, 44.846795850765446], [-0.592022373796396, 44.84675162571851]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.154144;Bordeaux-Rue Du Haillan , Rue Mondenard;154144;2409907;98;291;Assainissement - Branchement;Renouvellement;238255;2024-07-29;2024-10-04;301665/301664;EMPRISE/EMPRISE;Rue Ernest Renan, Rue du Haillan, Rue de Lyon, Rue Répond, Rue Mondenard/Rue Mondenard, sur sa partie entre la Rue Wustenberg et la Rue Heriard Dubreuil, Rue du Haillan, entre la Rue Répond et la Rue Ernest Bersot, Rue de Lyon, à l'angle avec la Rue du Haillan;Mise en impasse/Circulation interdite;LIGNE
44.84402164300775, -0.6180549219386202;"{""coordinates"": [[-0.617688856721518, 44.84498507479123], [-0.618437267297782, 44.84382821040874], [-0.61841358484217, 44.843734657796325], [-0.618367531816496, 44.843662929555755], [-0.617570531754587, 44.8432899295446]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156629;Rue Cyrano de l'intersection avec Rue Cléo à l'intersection avec Rue Victor Duruy (Bordeaux) situés en agglomération;156629;2412304;110;432;Gestion de l'espace public;Réfection de trottoir;238532;2024-08-26;2024-10-26;302025;EMPRISE;Rue Cyrano, de la Rue Cléo jusqu'à la Rue Victor Duruy (Bordeaux);"Limitation de vitesse;Interdiction de stationnement;Circulation interdite;Mise en impasse";LIGNE
44.84213756032255, -0.6030339277778427;"{""coordinates"": [[-0.603306409430862, 44.8421730372987], [-0.602854554354729, 44.84209725995077], [-0.602817353405366, 44.84219837244574]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.155360;Rue Jules Ferry à partir du N° 53 à l'intersection avec Rue Oscar Balaresque (Bordeaux) situés en agglomération Rue Oscar Balaresque de l'intersection avec Rue Jules Ferry jusqu'au N° 40 (Bordeaux) situés en agglomération;155360;2411076;107;326;Electricité - Branchement;Création;242297;2024-09-30;2024-10-04;306742/306746;EMPRISE/EMPRISE;Rue Jules Ferry, du 53 jusqu'à la Rue Oscar Balaresque (Bordeaux)/Rue Oscar Balaresque (Bordeaux) de la Rue Jules Ferry jusqu'au 40;"Limitation de vitesse;Neutralisation de voie;Interdiction de stationnement/Neutralisation de voie;Rétrécissement de largeur de voie;Limitation de vitesse";LIGNE
44.83465983803103, -0.6020495338888441;"{""coordinates"": [[-0.602008447550785, 44.834651285798294], [-0.602090620226904, 44.83466839026376]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156611;Rue Valentin Hauy à partir du N° 3 jusqu'au N° 5 (Bordeaux) situés en agglomération;156611;2412288;110;432;Gestion de l'espace public;Réfection de trottoir;238477;2024-08-19;2024-10-18;301946;EMPRISE;du 3 au 5 rue Valentin Hauy;Interdiction de stationnement;LIGNE
44.834628985782295, -0.6018458359518436;"{""coordinates"": [[-0.601977627539684, 44.83464874249388], [-0.601714044364003, 44.83460922907071]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156604;Rue Valentin Hauy à partir du N° 3 jusqu'au N° 2 (Bordeaux) situés en agglomération;156604;2412281;110;432;Gestion de l'espace public;Réfection de trottoir;238462;2024-08-19;2024-10-18;301929;EMPRISE;Rue de Doumerc du côté impair à l'angle de la rue Valentin Hauy Rue Valentin Hauy du côté impair, du 3 jusqu'à la rue de Doumerc;Interdiction de stationnement;LIGNE
44.83361791752128, -0.6018451513651113;"{""coordinates"": [[-0.601837102611869, 44.8336473786118], [-0.601853200118354, 44.83358845643075]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.154677;Rue de Doumerc au N° 73 (Bordeaux) situé en agglomération;154677;2410434;97;424;Aménagement  de l'espace public;Mise en sécurité;234717;2024-06-19;2024-12-31;297049;EMPRISE;Rue de Doumerc, côté pair, de face au 73 (angle rue François Daunes) jusque face au 71;Interdiction de stationnement;LIGNE
44.86565030979382, -0.5616247822070982;"{""coordinates"": [[[-0.562038230632793, 44.86565772881496], [-0.561749775547874, 44.86534584304609], [-0.561160059141364, 44.86579498289411], [-0.561312315254982, 44.865888745596976], [-0.562067623137851, 44.86568495925039], [-0.562038230632793, 44.86565772881496]]], ""type"": ""Polygon""}";_92e3f15c-e698-11e9-91fd-57b991809803.126528;Rue Boileau de l'intersection avec Rue Bourbon jusqu'au N° 25 (Bordeaux) situés en agglomération Rue Bourbon de l'intersection avec Rue Boileau jusqu'au N° 180 (Bordeaux) situés en agglomération;126528;2302276;133;671;Travaux sur immeuble - Construction;Construction;204297;2023-08-28;2024-12-31;259144;EMPRISE;Rue Bourbon, de la Rue Boileau jusqu'au Cours du Raccordement;"Interdiction de stationnement;Circulation interdite";SURFACE
44.8709113299222, -0.5740928268393336;"{""coordinates"": [[[-0.575913772547101, 44.87030852243525], [-0.573422120543674, 44.87060068241183], [-0.571755276497568, 44.87040525731612], [-0.571793035715957, 44.87114160511142], [-0.576021804576856, 44.87153810627887], [-0.575913772547101, 44.87030852243525]]], ""type"": ""Polygon""}";_92e3f15c-e698-11e9-91fd-57b991809803.130302;Allée de Boutaut (Bordeaux) en agglomération;130302;2305949;133;460;Travaux sur immeuble - Construction;Mise en place clôture;239748;2024-09-14;2025-09-12;303579;EMPRISE;"Allée de Boutaut, à proximité de l'arrêt de tramway "" Cracovie"" et le long de l'ancienne friche Cracovie";Neutralisation de voie;SURFACE
44.82708181422093, -0.5581391814888342;"{""coordinates"": [-0.558139181488834, 44.82708181422093], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.151065;Rue Saint Vincent de Paul au N° 7 (Bordeaux) situé en agglomération;151065;2406937;127;398;Télécommunication - Branchement;Création;230105;2024-05-13;2025-05-14;291355/291260;DEVIATION/EMPRISE;Rue de Saget, rue Eugène Le Roy, rue Charles Domercq/7 Rue Saint Vincent de Paul;Déviation/Neutralisation de voie;POINT
44.82987402872514, -0.5573581679091597;"{""coordinates"": [[-0.557005946115501, 44.83021778800075], [-0.557710389702818, 44.82953026944954]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.144202;Rue Jean Descas au N° 36 (Bordeaux) situé en agglomération;144202;2318762;107;328;Electricité - Branchement;Suppression;232464;2024-06-10;2024-11-15;294263/294262;EMPRISE/EMPRISE;du 31 au 35 Rue Jean Descas (Bordeaux)/du 17 au 35 Rue Jean Descas (Bordeaux);"Mise en impasse;Circulation interdite/Interdiction de stationnement";POINT
